date,ticker,text,true_label,lexicon_score,classifier_score
2021-07-02,AAPL,Apple shares plunged after cut its full-year guidance,negative,-1.0,-0.8177907360612678
2021-07-02,AAPL,Analysts turn bullish on Apple after record profit margins,positive,1.0,0.8769602525829345
2021-07-07,AAPL,Apple shares plunged after cut its full-year guidance,negative,-1.0,-0.8177907360612678
2021-07-08,AAPL,Apple shares trade flat as it maintained its previous guidance,neutral,0.0,-0.0011909663564374333
2021-07-08,AAPL,Apple shares climbed after raised its full-year guidance,positive,1.0,0.8184575805321709
2021-07-12,AAPL,Apple shares sank after announced layoffs amid cost cuts,negative,-1.0,-0.920221452594127
2021-07-12,AAPL,Apple shares fell after announced layoffs amid cost cuts,negative,-1.0,-0.9327537992508866
2021-07-13,AAPL,Apple drops as it announced layoffs amid cost cuts,negative,-1.0,-0.9497124129098697
2021-07-16,AAPL,Analysts turn cautious on Apple after soft quarterly earnings,negative,0.0,-0.8633732117550904
2021-07-20,AAPL,Analysts turn cautious on Apple after weak profit margins,negative,0.0,-0.8991465310551295
2021-07-20,AAPL,Apple to hold investor call on cash flow,neutral,0.0,-0.0018594071186126444
2021-07-21,AAPL,Apple shares fell after cut its full-year guidance,negative,-1.0,-0.84993558669835
2021-07-21,AAPL,Apple drops as it warned of a demand slowdown,negative,-1.0,-0.9533158452008691
2021-07-22,AAPL,Apple drops as it warned of a demand slowdown,negative,-1.0,-0.9533158452008691
2021-07-23,AAPL,Apple stock surged on resilient quarterly earnings,positive,1.0,0.7685602374785703
2021-07-23,AAPL,"Apple cut its full-year guidance, shares slide",negative,-1.0,-0.9068839458164285
2021-07-26,AAPL,Apple shares surged after raised its full-year guidance,positive,1.0,0.8174855430914125
2021-07-26,AAPL,"Apple announced a share buyback program, shares climb",positive,1.0,0.9444069844023287
2021-07-29,AAPL,"Apple received an analyst upgrade, shares climb",positive,1.0,0.9194317067573098
2021-07-30,AAPL,Apple shares trade flat as it maintained its previous guidance,neutral,0.0,-0.0011909663564374333
2021-07-30,AAPL,Apple shares rallied after received an analyst upgrade,positive,1.0,0.8485046382932053
2021-08-03,AAPL,Apple shares soared after unveiled a new product line to strong demand,positive,1.0,0.9195437623115332
2021-08-06,AAPL,Apple shares trade flat as it presented at an industry conference,neutral,0.0,-0.0016516250217269973
2021-08-10,AAPL,Apple stock climbed on strong guidance,positive,1.0,0.8469119677845526
2021-08-11,AAPL,Apple shares climbed after beat analyst earnings estimates,positive,1.0,0.8437077835193046
2021-08-12,AAPL,"Apple faces a regulatory investigation, shares slide",negative,-1.0,-0.9542716268290757
2021-08-17,AAPL,Apple rallies as it beat analyst earnings estimates,positive,1.0,0.8870673045993982
2021-08-19,AAPL,Apple drops as it faces a regulatory investigation,negative,-1.0,-0.9500416970082133
2021-09-01,AAPL,Apple stock tumbled on disappointing profit margins,negative,0.0,-0.8192331945076725
2021-09-03,AAPL,Apple stock advanced on robust sales,positive,1.0,0.8227767018193426
2021-09-03,AAPL,Apple shares slumped after announced layoffs amid cost cuts,negative,-1.0,-0.9196713366479907
2021-09-08,AAPL,"Apple raised its full-year guidance, shares climb",positive,1.0,0.8815839559108796
2021-09-09,AAPL,Apple stock surged on robust quarterly earnings,positive,1.0,0.8078974700867433
